race_id,umaban,horse,jockey,weight,odds,score
202604010206,6,ラファミリア,▲森田,504(0),10.2,0.08928571428571429
202604010206,7,プロスペクト,△鷲頭,518(+4),14.4,0.06493506493506493
202604010206,8,アスタールテニウム,◇永島,508(-11),24.0,0.04
202604010206,9,コスモシェルベット,▲石神道,442(+2),29.4,0.03289473684210526
202604010206,14,ノーブルミステリー,▲小林美,454(-2),44.3,0.02207505518763797
202604010206,10,ヤマカツレオン,▲川端,506(0),65.1,0.015128593040847203
202604010206,11,ラストレガシー,△舟山,488(+6),65.3,0.015082956259426848
202604010206,12,ノーブルアクト,▲水沼,510(-10),75.6,0.013054830287206267
202604010206,13,ハイケンス,★河原田,458(-2),131.2,0.007564296520423602
202604010207,1,馬名,騎手,"馬体重
(増減)",2.8,0.2631578947368421
202604010207,2,メランジェ,丹内,452(0),6.0,0.14285714285714285
202604010207,3,ウインレオネッサ,△田山,432(+10),7.6,0.11627906976744186
202604010207,4,マーゴットカーラ,△舟山,428(+14),7.7,0.1149425287356322
202604010207,5,ストレイトアスク,▲和田陽,436(-6),12.3,0.07518796992481203
202604010207,6,ラブリーガール,武藤,450(-4),13.8,0.06756756756756756
202604010207,7,デュアルアップ,◇今村,474(-8),14.8,0.06329113924050632
202604010207,8,ラヴスコール,斎藤,426(+6),16.3,0.057803468208092484
202604010207,9,ココボロ,野中,526(+2),16.6,0.056818181818181816
202604010207,10,ルージュベルベット,ゴンサルベ,450(+6),24.2,0.03968253968253968
202604010207,11,キタノクニカラ,▲遠藤,396(+10),28.8,0.03355704697986577
202604010207,12,ユメシバイ,▲小林美,456(+16),43.0,0.022727272727272728
202604010207,17,ラブカムーン,★河原田,480(+4),86.0,0.011494252873563218
202604010207,13,ロンドンアームズ,菊沢,474(+2),102.2,0.009689922480620155
202604010207,14,ベルサ,◇永島,466(0),126.9,0.007818608287724784
202604010207,15,マリーヌ,亀田,484(-2),162.5,0.0061162079510703364
202604010207,16,ルージュナリッシュ,石川,454(+4),218.9,0.004547521600727604
202604010208,1,馬名,騎手,"馬体重
(増減)",3.7,0.2127659574468085
202604010208,2,スターエンブレム,横山琉,476(-4),3.8,0.20833333333333334
202604010208,3,サンピアノソナタ,▲上里,458(-6),6.7,0.12987012987012986
202604010208,4,アンドローゼス,丸山,464(0),6.9,0.12658227848101264
202604010208,5,マドモアゼルアスク,小沢,448(-2),8.6,0.10416666666666667
202604010208,6,ナムラブーニン,吉田隼,468(0),9.6,0.09433962264150944
202604010208,7,マイネルアレス,丹内,460(-4),11.3,0.08130081300813008
202604010208,8,ミエノフェアリー,△舟山,406(-14),15.8,0.05952380952380952
202604010208,9,ケイツークローン,菊沢,476(-6),31.9,0.030395136778115502
202604010208,13,レゼールドラペ,▲石神道,432(+2),47.4,0.02066115702479339
202604010208,10,サトノシャルレーヌ,△田山,468(+20),68.9,0.014306151645207437
202604010208,11,クラウドセイル,▲遠藤,482(-4),158.5,0.006269592476489028
202604010208,12,グランツローゼ,▲森田,444(+2),177.3,0.005608524957936062
202604010209,1,馬名,騎手,"馬体重
(増減)",2.0,0.3333333333333333
202604010209,2,ルージュマローネ,杉原,474(-6),4.6,0.17857142857142858
202604010209,3,メイショウリリー,横山琉,444(+10),4.8,0.1724137931034483
202604010209,4,コンアフェット,斎藤,480(+2),9.9,0.09174311926605504
202604010209,5,レイバックスピン,丹内,482(-4),15.7,0.059880239520958084
202604010209,6,シンボリノエル,菊沢,504(+14),21.4,0.044642857142857144
202604010209,13,サンコンクエスト,丸山,558(+2),22.8,0.04201680672268907
202604010209,7,フローラルセント,川端,468(+4),24.0,0.04
202604010209,8,ベルイストワール,小沢,544(-10),33.1,0.029325513196480937
202604010209,9,ステアハート,田山,476(-6),36.0,0.02702702702702703
202604010209,10,マハナ,石川,444(-4),65.5,0.015037593984962405
202604010209,11,サイモンコーラル,柴田裕,462(-10),141.7,0.007007708479327261
202604010209,12,プウスカンドゥール,中井,464(+2),152.4,0.006518904823989569
202604010210,1,馬名,騎手,"馬体重
(増減)",3.0,0.25
202604010210,2,クールベイビー,丸山,470(+2),4.9,0.1694915254237288
202604010210,3,マルプリ,ゴンサルベ,466(0),5.3,0.15873015873015872
202604010210,4,ペイシャヴァルツー,川端,436(0),9.3,0.0970873786407767
202604010210,5,ヒラボクミニー,舟山,488(+10),12.7,0.07299270072992702
202604010210,6,エクセルゴールド,杉原,486(+8),14.1,0.06622516556291391
202604010210,7,クリノハレルヤ,和田陽,482(-2),16.7,0.05649717514124294
202604010210,8,イスラコラソン,今村,450(+8),18.4,0.051546391752577324
202604010210,9,ハニーローリエ,菊沢,472(0),23.1,0.04149377593360996
202604010210,10,ヴェナートル,武藤,498(-10),30.7,0.031545741324921134
202604010210,11,ホークレア,横山琉,446(-10),38.7,0.025188916876574305
202604010210,17,カウンターセブン,小林美,514(-10),39.3,0.02481389578163772
202604010210,12,ララアヴリル,森田,480(0),56.9,0.017271157167530225
202604010210,13,リリーフィールド,富田,436(0),59.3,0.01658374792703151
202604010210,14,ラトルシェ,丹内,470(0),103.2,0.009596928982725527
202604010210,15,タミゼ,田山,470(-14),122.2,0.008116883116883116
202604010210,16,スペルキャスター,小林凌,478(-8),128.3,0.007733952049497292
202604010211,1,馬名,騎手,"馬体重
(増減)",4.3,0.18867924528301888
202604010211,2,エコロガイア,中井,478(+4),5.2,0.16129032258064516
202604010211,3,ポールセン,丹内,490(+4),5.7,0.14925373134328357
202604010211,4,ショウナンアビアス,ゴンサルベ,506(-4),6.7,0.12987012987012986
202604010211,5,ブレーザー,斎藤,522(-10),11.5,0.08
202604010211,6,レアンダー,亀田,458(-2),11.9,0.07751937984496124
202604010211,7,サフランヒーロー,黛,450(-14),12.4,0.07462686567164178
202604010211,8,エスカル,丸山,506(0),14.3,0.06535947712418301
202604010211,9,サンライズパスカル,富田,544(+4),19.3,0.04926108374384236
202604010211,10,ボディブロー,田山,538(+6),24.6,0.0390625
202604010211,11,ユキマル,石川,496(-4),27.2,0.03546099290780142
202604010211,12,アルムラトゥール,横山琉,500(0),58.8,0.016722408026755852
202604010211,13,スリーピース,吉田隼,460(0),59.7,0.016474464579901153
202604010211,14,エティエンヌ,長岡,510(-2),59.8,0.01644736842105263
202604010211,16,ルディック,小沢,530(-2),86.3,0.01145475372279496
202604010211,15,グッジョブ,菊沢,466(+12),132.5,0.00749063670411985
202604010212,1,馬名,騎手,"馬体重
(増減)",2.6,0.2777777777777778
202604010212,2,サイモンプレジール,▲森田,476(-6),2.7,0.27027027027027023
202604010212,3,ジャーニーメモリー,▲上里,468(-4),5.9,0.14492753623188406
202604010212,4,タケルハーロック,亀田,498(0),10.0,0.09090909090909091
202604010212,5,バルジール,吉田隼,488(-2),17.9,0.052910052910052914
202604010212,6,フルドド,ゴンサルベ,454(-8),18.1,0.05235602094240837
202604010212,16,サイコウダネ,★河原田,452(-2),23.8,0.04032258064516129
202604010212,7,ダディーズアイル,△鷲頭,482(-6),33.3,0.02915451895043732
202604010212,8,クリノミニスター,丹内,460(-12),36.7,0.02652519893899204
202604010212,9,シュネーグロッケン,小沢,496(-4),50.6,0.01937984496124031
202604010212,10,ワンウェイトゥヘル,長岡,468(-2),52.5,0.018691588785046728
202604010212,11,リッキースタイル,△舟山,490(0),66.0,0.014925373134328358
202604010212,12,スーパーバイザー,菊沢,482(+2),159.2,0.006242197253433209
202604010212,13,クインズメレンゲ,△田山,464(-2),235.4,0.004230118443316413
202604010212,14,アイファーファイト,的場,436(-2),259.2,0.0038431975403535744
202604010212,15,ダイチラポール,◇永島,480(-12),268.7,0.0037078235076010383
202605020401,1,馬名,騎手,"馬体重
(増減)",2.5,0.2857142857142857
202605020401,2,ウォータースパウト,高杉,466(-2),4.9,0.1694915254237288
202605020401,3,ルンベーラ,佐々木,450(-4),6.5,0.13333333333333333
202605020401,4,エフハリスト,横山和,512(-2),9.1,0.09900990099009901
202605020401,5,キャルキュラス,ディー,452(0),10.5,0.08695652173913043
202605020401,6,アスパラゴ,大野,470(-2),11.4,0.08064516129032258
202605020401,7,グレープレモネード,松岡,422(-8),17.4,0.05434782608695653
202605020401,8,フレンチブラッサム,木幡巧,438(+5),20.9,0.04566210045662101
202605020401,9,アジャイブ,△長浜,460(+4),28.5,0.03389830508474576
202605020401,16,メリティス,吉田豊,484(0),37.1,0.026246719160104987
202605020401,10,ディープマウンテン,木幡初,402(-4),41.0,0.023809523809523808
202605020401,11,シンデレラカラー,岩田康,456(0),46.1,0.021231422505307854
202605020401,12,ライヴマルガリータ,石橋脩,454(-4),118.4,0.008375209380234505
202605020401,13,イデアクリスタル,横山武,476(+4),124.2,0.007987220447284345
202605020401,14,ブルーサーマル,原,524(+6),244.6,0.004071661237785016
202605020401,15,マウンテンドーター,柴田大,426(0),269.0,0.003703703703703704
202605020402,1,馬名,騎手,"馬体重
(増減)",2.6,0.2777777777777778
202605020402,2,マッシブショット,江田照,460(+4),4.6,0.17857142857142858
202605020402,3,キタノドンカルロ,柴田大,434(-16),5.7,0.14925373134328357
202605020402,4,リトルコリンズ,石橋脩,428(+8),5.9,0.14492753623188406
202605020402,5,キーチジャステン,△長浜,484(0),9.3,0.0970873786407767
202605020402,6,レピュニット,ディー,484(+10),17.9,0.052910052910052914
202605020402,7,エメラルファイン,木幡巧,484(-2),26.2,0.03676470588235294
202605020402,8,ブルーミーティア,菅原明,490(+2),30.3,0.03194888178913738
202605020402,9,ハピナスター,松岡,500(-4),42.3,0.023094688221709007
202605020402,17,イントゥゴールデン,西塚,480(+8),47.1,0.020790020790020788
202605020402,10,レオスキーム,原,464(-4),54.3,0.018083182640144666
202605020402,11,レイズレガシー,横山武,506(+4),70.0,0.014084507042253521
202605020402,12,ライカ,大野,446(+2),126.8,0.00782472613458529
202605020402,13,セツナサ,三浦,468(-2),137.4,0.0072254335260115606
202605020402,14,プリプリプリン,▲佐藤,476(0),274.4,0.0036310820624546117
202605020402,15,マイネルテオドロス,高杉,456(+8),409.2,0.0024378352023403218
202605020402,16,ネオシューマン,団野,464(+4),460.6,0.002166377816291161
202605020403,1,馬名,騎手,"馬体重
(増減)",2.3,0.30303030303030304
202605020403,2,タイガーゲイト,木幡巧,488(+12),3.4,0.22727272727272727
202605020403,3,モズエムブイピー,横山武,550(0),6.9,0.12658227848101264
202605020403,4,クラージュスター,横山和,478(+4),7.8,0.11363636363636363
202605020403,5,シャインネージュ,石橋脩,478(+8),7.9,0.11235955056179775
202605020403,6,タマモブレイキン,★谷原,496(-4),12.4,0.07462686567164178
202605020403,13,マサッチェハマー,ディー,492(0),17.7,0.053475935828877004
202605020403,7,スティールヴォーグ,田辺,460(0),55.7,0.01763668430335097
202605020403,8,カウガールハット,北村宏,454(-4),142.7,0.006958942240779402
202605020403,9,カシマライフウ,松岡,472(+2),153.7,0.006464124111182935
202605020403,10,アーデントアイ,高杉,460(-2),187.7,0.005299417064122946
202605020403,11,スターツトゥデイ,岩田康,490(-2),196.0,0.005076142131979695
202605020403,12,トワイライトビュー,原,510(+4),235.5,0.004228329809725159
202605020404,1,馬名,騎手,"馬体重
(増減)",2.0,0.3333333333333333
202605020404,2,モントゥリエ,田辺,440(-2),4.7,0.17543859649122806
202605020404,3,ダイヤテソーロ,石橋脩,440(-2),6.1,0.14084507042253522
202605020404,4,フリーヤ,横山武,460(-4),13.8,0.06756756756756756
202605020404,5,ワッフル,柴田大,448(+2),13.9,0.06711409395973154
202605020404,6,カテドラルクォーツ,原,480(-4),23.0,0.041666666666666664
202605020404,19,アームアンフルール,木幡初,464(+2),23.4,0.04098360655737705
202605020404,7,ベアサナエチャン,大野,446(+10),27.1,0.03558718861209964
202605020404,8,トウカイティエラ,▲佐藤,454(0),27.3,0.0353356890459364
202605020404,9,カーブドフェザー,団野,440(-4),34.0,0.02857142857142857
202605020404,10,エルアン,△長浜,448(0),43.1,0.022675736961451247
